name,addr_street,addr_housenumber,addr_postcode,addr_city,addr_country,latitude,longitude,website_url,website_effective_url,website_http_status,website_is_valid,website_discovery_method,menu_url,menu_http_status,menu_is_valid,menu_discovery_method
Ming Dynasty,Spui,170,2511BW,'s-Gravenhage,,52.0765756,4.3175066,,,,false,,,,false,
Eetcafé Hagedis,Waldeck Pyrmontkade,116,2518JR,'s-Gravenhage,,52.0784108,4.2928326,https://www.restauranthagedis.nl/,,,false,,,,false,
De Chinese Muur,Jan Thijssenweg,16,2495AH,'s-Gravenhage,,52.0563779,4.3483532,https://chinesemuurdenhaag.nl/,,,false,,,,false,
Long Ting,,,,,,52.0748292,4.3142697,,,,false,,,,false,
Song Phi Nong,,,,,,52.0740235,4.3157097,,,,false,,,,false,
Naga Thai,,,,,,52.0897577,4.2749590,,,,false,,,,false,
Momiji Sushi,Rabbijn Maarsenplein,1,2512HJ,'s-Gravenhage,,52.0761389,4.3144681,https://momiji-sushi.nl/nl,,,false,,,,false,
Zirve Restaurant,Jan van Riebeekstraat,571,2595TZ,'s-Gravenhage,,52.0798560,4.3272016,https://www.zirve-restaurant.nl/,,,false,,,,false,
Callao,Dr. Lelykade,29,2583CL,'s-Gravenhage,NL,52.0949235,4.2654750,https://www.callao.nl/,,,false,,,,false,
Balkan Grill,,,,,,52.0783679,4.3152665,,,,false,,,,false,
Giorgio,,,,,,52.0667206,4.2450194,,,,false,,,,false,
Roti Center Ypenburg,Steentijdsingel,55,2496SG,'s-Gravenhage,,52.0417842,4.3693100,,,,false,,,,false,
Bit Grill and Cafe,,,,,,52.0789787,4.3099113,https://www.bitgrill.nl/,,,false,,,,false,
Very Italian Pizza,Kettingstraat,13,2511AM,'s-Gravenhage,,52.0778701,4.3104325,,,,false,,,,false,
Umami,Buitenhof,46,2513AH,'s-Gravenhage,,52.0789113,4.3096186,https://umami-restaurant.com/,,,false,,,,false,
De Tapperij,Atjehstraat,66,2585VL,'s-Gravenhage,,52.0933422,4.3056233,,,,false,,,,false,
De Salon van Fagel,Noordeinde,140C,2514GP,'s-Gravenhage,NL,52.0824164,4.3055261,,,,false,,,,false,
Leopold,,,,,,52.0799652,4.3165294,https://www.caferestaurantleopold.nl/,,,false,,,,false,
Restaurant Zebedeus,Rond de Grote Kerk,8,2513AM,'s-Gravenhage,,52.0772325,4.3073529,https://zebedeus.nl/,,,false,,,,false,
Simonis aan de haven,Visafslagweg,20,2583DM,'s-Gravenhage,NL,52.1007503,4.2641344,https://www.simonisvis.nl/vestigingen/aan-de-haven,,,false,,,,false,
Leuk,Kettingstraat,29,2511AM,'s-Gravenhage,,52.0780632,4.3103667,https://leuketenendrinken.nl/,,,false,,,,false,
Restaurant Elea,Noordeinde,142-144,2514GP,'s-Gravenhage,NL,52.0825076,4.3054260,https://restaurantelea.nl/,,,false,,,,false,
Sapori D'Italia,,,,,,52.0885581,4.3072414,,,,false,,,,false,
Kimchi House,,,,,,52.0791222,4.3044736,,,,false,,,,false,
India Palace,,,,,,52.1125765,4.2809595,,,,false,,,,false,
Chefsbar Seinpost,Zeekant,60,2586AD,'s-Gravenhage,,52.1092059,4.2756098,https://www.chefsbarseinpost.nl/,,,false,,,,false,
Follia,Frederikstraat,62,,'s-Gravenhage,,52.0881204,4.3099014,https://follia.nl/,,,false,,,,false,
Khaosaan Road,Nobelstraat,19,2513BC,'s-Gravenhage,,52.0782967,4.3057041,,,,false,,,,false,
il Senso,Nobelstraat,13,2513BC,'s-Gravenhage,,52.0783347,4.3058947,https://www.il-senso.nl/,,,false,,,,false,
Shang Hai,,,,,,52.0202982,4.2976779,,,,false,,,,false,
Waterproef B.V.,Dr. Lelykade,25-27,2583CL,'s-Gravenhage,NL,52.0950294,4.2656231,,,,false,,,,false,
Dozo,Prinsestraat,13,2513CA,'s-Gravenhage,,52.0785650,4.3064616,https://restaurantdozo.nl/,,,false,,,,false,
Thai Basil,Keizerstraat,89,2584BC,'s-Gravenhage,NL,52.1055608,4.2742818,,,,false,,,,false,
