id,restaurant_name,website_url,city,country,cuisine_type,price_range,rating,review_count,address,phone,latitude,longitude,menu_url_count,menu_urls,menu_types,best_extraction_confidence,total_items_extracted,last_crawled,data_source,has_menu_data,export_date
db_72,Zirve Restaurant,https://zirve-restaurant.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,2,https://zirve-restaurant.nl/menu; https://zirve-restaurant.nl/menu/,html; html,,350,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275704
db_73,Long Ting,https://denhaagdalongyi.nl/restaurant-buffet/,The Hague,Netherlands,Unknown,Unknown,,,,,,,2,https://denhaagdalongyi.nl/menu/; https://denhaagdalongyi.nl/menu,html; html,,193,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275708
db_44,Barbarossa Beach,https://www.barbarossabeach.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,4,https://www.barbarossabeach.nl/menu/; https://www.barbarossabeach.nl/menu; https://www.barbarossabeach.nl/menukaart/; https://www.barbarossabeach.nl/menukaart,html; html; html; html,0.9539130434782609,130,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275711
db_40,Habana Beach,https://www.habana.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,1,https://www.habana.nl/restaurant/,html,0.8925619834710743,110,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275715
db_63,De Halve Maan,https://dehalvemaan.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,6,https://dehalvemaan.nl/; https://dehalvemaan.nl/menu/; https://dehalvemaan.nl/menukaart/lunch/; https://dehalvemaan.nl/menukaart/diner/; https://dehalvemaan.nl/?nav_cpt=menukaart; https://dehalvemaan.nl/menukaart/kindermenu/,html; html; html; html; html; html,,85,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275718
db_67,De Wits,https://dewits.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,3,https://dewits.nl/menu/; https://dewits.nl/menu; https://dewits.nl/,html; html; html,,84,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275721
db_23,De Halve Maan,https://dehalvemaan.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,5,https://dehalvemaan.nl/; https://dehalvemaan.nl/menukaart/lunch/; https://dehalvemaan.nl/menukaart/diner/; https://dehalvemaan.nl/?nav_cpt=menukaart; https://dehalvemaan.nl/menukaart/kindermenu/,html; html; html; html; html,0.8977777777777778,80,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275725
db_32,Sol Beach,https://www.solbeach.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,9,https://www.solbeach.nl/ervaar-solbeach-2/menukaarten/; https://www.solbeach.nl/lunch/; https://www.solbeach.nl/lunch; https://www.solbeach.nl/activity/ontbijt/; https://www.solbeach.nl/activity/lunch-2/; https://www.solbeach.nl/activity/high-wine-high-beer/; https://www.solbeach.nl/activity/diner/; https://www.solbeach.nl/activity-category/creatieve-en-muzikale-activiteiten/; https://www.solbeach.nl/lekker-eten-in-scheveningen/,html; html; html; html; html; html; html; html; html,0.83,76,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275730
db_24,Callao,https://www.callao.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,2,https://www.callao.nl/menu/; https://www.callao.nl/menu,html; html,0.953125,64,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275733
db_64,Callao,https://www.callao.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,2,https://www.callao.nl/menu/; https://www.callao.nl/menu,html; html,,64,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275736
db_79,Roti Center Ypenburg,https://www.smakelijk-eten.nl/roti-center-ypenburg,The Hague,Netherlands,Unknown,Unknown,,,,,,,2,https://www.smakelijk-eten.nl/food/; https://www.smakelijk-eten.nl/roti-center-ypenburg,html; html,,63,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275740
db_50,Suiderstrand,https://www.suiderstrand.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,1,https://www.suiderstrand.nl/eten-en-drinken,html,0.7017857142857142,56,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275743
db_75,Naga Thai,https://www.nagathai.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,5,https://www.nagathai.nl/lunch; https://www.nagathai.nl/menu; https://www.nagathai.nl/afhaal-menu; https://www.nagathai.nl/combi-menus; https://www.nagathai.nl/menu/,html; html; html; html; html,,56,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275747
db_89,De Salon van Fagel,https://www.salonvanfagel.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,1,https://www.resetspa.nl/nl/over-reset-spa/locatie-den-haag,html,,50,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275750
db_76,Balkan Grill,https://balkangrill.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,3,https://balkangrill.nl/index.php/voorgerechten/; https://balkangrill.nl/index.php/hoofdgerechten/; https://balkangrill.nl/index.php/nagerechten/,html; html; html,,42,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275753
db_69,De Chinese Muur,https://chinesemuurdenhaag.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,1,https://chinesemuurdenhaag.nl/a-la-carte/,html,,40,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275757
db_41,Hudson beach,https://www.hudsonbeach.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,1,https://www.hudsonbeach.nl/menu/breakfast,html,0.8666666666666667,36,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275760
db_81,Umami,https://www.umami-restaurant.com,The Hague,Netherlands,Unknown,Unknown,,,,,,,4,https://umami-restaurant.com/menu/; https://umami-restaurant.com/steamed-seafood-bar/; https://umami-restaurant.com/wp-content/uploads/2025/03/Social-Dining-Lunch-Deal-1.pdf; https://www.umami-restaurant.com,html; html; html; html,,20,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275763
db_33,Twins,https://www.twins.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,1,https://www.twins.nl/,html,0.6,16,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275767
db_25,Bistro Le Petit Chef,https://bistrolepetitchef.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,2,https://bistrolepetitchef.nl/#menu; https://bistrolepetitchef.nl/wp-content/uploads/2025/05/LPC_Menukaart_Bistro.pdf,html; html,0.99375,15,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275770
db_38,Beachclub La Parade,https://beachclublaparade.nl,The Hague,Netherlands,Unknown,Unknown,,,,,,,3,https://beachclublaparade.nl/menu/; https://beachclublaparade.nl; https://beachclublaparade.nl/vacature/bartender/,html; html; html,0.5375,15,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275773
db_65,Bistro Le Petit Chef,https://bistrolepetitchef.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,2,https://bistrolepetitchef.nl/#menu; https://bistrolepetitchef.nl/wp-content/uploads/2025/05/LPC_Menukaart_Bistro.pdf,html; html,,15,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275777
db_88,De Tapperij,https://www.restaurantdetapperij.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,4,https://www.restaurantdetapperij.nl/lunch; https://www.restaurantdetapperij.nl/diner-tapperij; https://www.restaurantdetapperij.nl/wijnen; https://www.restaurantdetapperij.nl/gezelschappen,html; html; html; html,,13,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275780
db_87,Athena Palace,https://www.athenepalace.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,3,https://www.athenepalace.nl/menu; https://www.athenepalace.nl/onewebmedia/MenukaartAtheneDenHaag%20A3%2009-05-2025.pdf; https://www.athenepalace.nl/,html; html; html,,7,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275783
db_45,Beachclub Culpepper,https://www.culpepper.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,2,https://www.culpepper.nl/eten; https://www.culpepper.nl/eten-aan-zee,html; html,0.3833333333333333,6,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275795
db_29,Buena Vista Beach Club,https://www.buenavistabeachclub.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,2,https://buenavistabeachclub.nl/wp-content/uploads/2025/03/buena-vista_menukaart_boek_2025-CDEF.pdf; https://www.buenavistabeachclub.nl/,html; html,0.44999999999999996,5,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275822
db_84,Restaurant Zebedeus,https://www.zebedeus.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,3,https://zebedeus.nl/wp-content/uploads/2025/06/lunchkaartjuni25.pdf; https://zebedeus.nl/wp-content/uploads/2025/06/dinerkaartjuni25.pdf; https://zebedeus.nl/wp-content/uploads/2025/06/bierwijnkaartjuni25.pdf,html; html; html,,5,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275837
db_83,Very Italian Pizza,https://veryitalianpizza.nl/,The Hague,Netherlands,Unknown,Unknown,,,,,,,1,https://veryitalianpizza.nl/wp-content/uploads/2024/12/VIP-Menukaart.pdf,html,,5,2025-07-29 20:02:53,database_with_menus,True,2025-08-06T20:04:50.275845
