name,addr_street,addr_housenumber,addr_postcode,addr_city,addr_country,latitude,longitude,website_url,website_effective_url,website_http_status,website_is_valid,website_discovery_method,menu_url,menu_http_status,menu_is_valid,menu_discovery_method
Puurr aan de Binck,Fokkerkade,18,2516CC,'s-Gravenhage,,52.0649040,4.3375488,https://www.puurraandebinck.nl/,https://www.puurraandebinck.nl/,200,true,osm,https://www.puurraandebinck.nl/menukaart-puurr-aan-de-binck,200,true,header
Vincenzo's,,,,,,52.0816731,4.2926117,,,,false,,,,false,
De Javaanse Vlam,,,,,,52.0836036,4.2930158,,,,false,,,,false,
Braadstaal,,,,,,52.0826164,4.2828003,,,,false,,,,false,
Haver,,,,,,52.0825579,4.2827981,,,,false,,,,false,
Curry & Cocos,,,,,,52.0816158,4.2924675,http://www.curryencocos.nl/,http://www.curryencocos.nl/,200,true,osm,http://www.curryencocos.nl/?page_id=7,200,true,header
Arawann Thaifood To Go,Keizerstraat,211,2584BE,'s-Gravenhage,NL,52.1045577,4.2754615,http://www.arawannthaifood.nl/,http://www.arawannthaifood.nl/,200,true,osm,,,false,
Setare,Bierkade,13,2512AA,'s-Gravenhage,,52.0747544,4.3184974,,,,false,,,,false,
De Sushimeisjes,,,,,,52.0812617,4.2921178,,,,false,,,,false,
PRL,,,,,,52.0743224,4.2808371,,,,false,,,,false,
Amon,,,,,,52.0720643,4.2845851,,,,false,,,,false,
Tay Wah,,,,,,52.0743809,4.2838355,,,,false,,,,false,
Que Pasa,,,,,,52.0857600,4.2973023,,,,false,,,,false,
Hummus,,,,,,52.0817175,4.2932153,https://hummustakeaway.squarespace.com/,https://hummustakeaway.squarespace.com/,200,true,osm,https://hummustakeaway.squarespace.com/menu,200,true,header
3Stones,,,,,,52.0855529,4.2972928,,,,false,,,,false,
Sayang,,,,,,52.0791080,4.2778536,,,,false,,,,false,
Van Kinsbergen,,,,,,52.0819798,4.2943055,https://www.gastropubvankinsbergen.nl/nl/,https://www.gastropubvankinsbergen.nl/nl/,200,true,osm,https://www.gastropubvankinsbergen.nl/nl/menu/,200,true,nav
't Drieluik,,,,,,52.0767482,4.2842501,,,,false,,,,false,
Charisma,,,,,,52.0797599,4.2937278,,,,false,,,,false,
Zalmhuis Anna Paulowna,,,,,,52.0833571,4.3008503,,,,false,,,,false,
Taste of Persia,,,,,,52.0824745,4.3004043,,,,false,,,,false,
Arte Bianca,,,,,,52.0823071,4.2999747,,,,false,,,,false,
Jules,,,,,,52.0802507,4.2892689,,,,false,,,,false,
La Famiglia,,,,,,52.0824576,4.2775664,,,,false,,,,false,
Chang'an Flavour,Korte Poten,23,2511EC,'s-Gravenhage,,52.0800075,4.3176638,,,,false,,,,false,
Shiraz,,,,,,52.0761999,4.2707800,,,,false,,,,false,
Mr. India,,,,,,52.0753009,4.2681908,,,,false,,,,false,
L'Oro di Napoli,,,,,,52.0758748,4.2687380,,,,false,,,,false,
Symbiose,Galileïstraat,160,2561TL,'s-Gravenhage,,52.0748989,4.2761359,https://www.restaurantsymbiose.nl/,https://www.restaurantsymbiose.nl/,200,true,osm,,,false,
Da Mister Toni,,,,,,52.0851565,4.2960170,https://damistertoni.com/,https://damistertoni.com/,200,true,osm,,,false,
Tommy's & Zuurveen,Veenkade,1,2513EE,'s-Gravenhage,,52.0801852,4.3032131,https://tommysenzuurveen.nl/,https://tommysenzuurveen.nl/,200,true,osm,https://tommysenzuurveen.nl/,200,true,header
Palembang,,,,,,52.0790374,4.2747807,,,,false,,,,false,
Mallo Mix-Grill,,,,,,52.0711955,4.2843647,,,,false,,,,false,
Het Zamen,,,,,,52.0743992,4.2923098,,,,false,,,,false,
La Crêpe,Stationsweg,140A,2515BS,'s-Gravenhage,,52.0712985,4.3211408,,,,false,,,,false,
Mandarin Place,,,,,,52.0851100,4.2789730,,,,false,,,,false,
Lo Sfizio,,,,,,52.0855034,4.2790731,,,,false,,,,false,
El Gusto,,,,,,52.0847433,4.2797599,,,,false,,,,false,
First Place,,,,,,52.0845080,4.2797574,,,,false,,,,false,
Portfolio,Prinsestraat,36,2513CD,'s-Gravenhage,,52.0786936,4.3059026,https://portfolio-restaurant.nl/,https://portfolio-restaurant.nl/,200,true,osm,https://portfolio-restaurant.nl/menu/,200,true,link_text
Catch-Up,,,,,,52.0766803,4.2628286,,,,false,,,,false,
Burrata,,,,,,52.0768715,4.2632728,,,,false,,,,false,
Arabesq,,,,,,52.0728004,4.3190967,https://arabesq-restaurant.nl/,https://arabesq-restaurant.nl/,200,true,osm,https://arabesq-restaurant.nl/wp-content/uploads/2024/09/ArabesQ-12-9-2024.pdf,200,true,link_text
Glaswerk,Fokkerkade,14,2516CC,'s-Gravenhage,,52.0652266,4.3371657,https://glaswerkdenhaag.nl/,https://glaswerkdenhaag.nl/,200,true,osm,https://glaswerkdenhaag.nl/,200,true,nav
Pannenkoekenhuis Kijkduin,Deltaplein,203,2554GV,'s-Gravenhage,,52.0694206,4.2207861,https://pannenkoekenhuiskijkduin.nl/,https://pannenkoekenhuiskijkduin.nl/,200,true,osm,https://pannenkoekenhuiskijkduin.nl/,200,true,header
Pavarotti,Deltaplein,205,2554GV,'s-Gravenhage,,52.0696735,4.2211208,https://www.pavarotti.nl/,https://www.pavarotti.nl/,200,true,osm,https://www.pavarotti.nl/menukaart/,200,true,header
Calanddock restaurant,Calandkade,101,2521AA,'s-Gravenhage,,52.0604117,4.3130529,https://calanddockrestaurant.nl/,https://calanddockrestaurant.nl/,200,true,osm,https://calanddockrestaurant.nl/wp-content/uploads/2024/06/Calanddock-Menu.pdf,200,true,header
Srikandi,,,,,,52.0756692,4.3101836,,,,false,,,,false,
Rootz,,,,,,52.0759101,4.3099350,https://www.rootz.nl/nl/,https://www.rootz.nl/nl/,200,true,osm,https://www.rootz.nl/nl/menu/bierkaart,200,true,nav
Tarim,,,,,,52.0774749,4.3104092,,,,false,,,,false,
Burrata,Kortenaerkade,1,2518AX,'s-Gravenhage,,52.0830633,4.3013737,https://cortenaer.nl/en-gb,https://cortenaer.nl/en-gb,200,true,osm,https://cortenaer.nl/menu,200,true,slug
My Cookery kookstudio,,,,,,52.0815293,4.2927628,,,,false,,,,false,
The Sushi Corner,Meyerstraat,9,2521AH,'s-Gravenhage,,52.0615536,4.3142465,https://thesushicorner.nl/,https://thesushicorner.nl/,200,true,osm,https://thesushicorner.nl/wp-content/uploads/2021/08/menukaart_sushicorner.pdf,200,true,header
Rebelz,Junostraat,127,2516BR,'s-Gravenhage,,52.0635240,4.3393788,,,,false,,,,false,
La Riva al Porto,,,,,,52.0972288,4.2693364,,,,false,,,,false,
Bogazici,,,,,,52.0660165,4.3029633,,,,false,,,,false,
Eethuis Fes,,,,,,52.0637927,4.3072717,,,,false,,,,false,
Family,,,,,,52.0715686,4.3204720,,,,false,,,,false,
The Commons,Hoefkade,9,2526BN,'s-Gravenhage,,52.0711963,4.3196221,,,,false,,,,false,
Harem,,,,,,52.0720142,4.3247877,,,,false,,,,false,
Moksi,Boekhorststraat,119,2512CN,'s-Gravenhage,,52.0729013,4.3105075,,,,false,,,,false,
Xi’an Delicious Foods,Korte Poten,18,2511ED,'s-Gravenhage,,52.0799407,4.3172627,https://xianfoods.nl/,https://xianfoods.nl/,200,true,osm,,,false,
Juliana Plaza,Schalk Burgerstraat,217,2572TV,'s-Gravenhage,,52.0648488,4.2931185,https://www.julianaplaza.nl/,https://www.julianaplaza.nl/,200,true,osm,,,false,
Foodhall Scheveningen,Strandweg,161,2586JM,'s-Gravenhage,,52.1163263,4.2848248,https://foodhallscheveningen.nl/en/,https://foodhallscheveningen.nl/en/,200,true,osm,https://foodhallscheveningen.nl/en/stands/saigon-streetfood/,200,true,header
ChouChou,Strandweg,159,2586JM,'s-Gravenhage,,52.1161273,4.2846256,https://www.chouchou.nl/,https://www.chouchou.nl/,200,true,osm,https://www.chouchou.nl/menu/,200,true,header
